Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2021,1,2021/5/28,1,Preliminary ,Rimini,Italy,Bulgaria,France,0,3,25,21,23,-,-,27,25,25,-,-,ALL SETS,1,Karyagin Denis,-,O,6,6,0,0,-,27.27,6,0,1,7,85.71,0,0,0,0,-,0,3,1,4,-75,2,2,5,9,0,0,0,0,-,0,0,0,0,-
2021,1,2021/5/28,1,Preliminary ,Rimini,Italy,Bulgaria,France,0,3,25,21,23,-,-,27,25,25,-,-,ALL SETS,2,Chavdarov Stefan,-,MB,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,3,3,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/28,1,Preliminary ,Rimini,Italy,Bulgaria,France,0,3,25,21,23,-,-,27,25,25,-,-,ALL SETS,3,Kolev Nikolay,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/28,1,Preliminary ,Rimini,Italy,Bulgaria,France,0,3,25,21,23,-,-,27,25,25,-,-,ALL SETS,4,Atanasov Martin,-,L,5,2,1,2,-,-14.81,2,4,8,14,-14.29,1,2,0,3,-33.33,2,3,5,10,-10,2,0,6,8,25,0,0,0,-,0,0,0,0,-
2021,1,2021/5/28,1,Preliminary ,Rimini,Italy,Bulgaria,France,0,3,25,21,23,-,-,27,25,25,-,-,ALL SETS,9,Seganov Georgi,-,S,1,0,1,0,-,-11.76,0,1,0,1,-100,1,0,0,1,100,0,2,13,15,-13.33,0,0,0,0,-,0,0,0,-,3,0,66,69,4.35
2021,1,2021/5/28,1,Preliminary ,Rimini,Italy,Bulgaria,France,0,3,25,21,23,-,-,27,25,25,-,-,ALL SETS,10,Stankov Svetoslav,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/28,1,Preliminary ,Rimini,Italy,Bulgaria,France,0,3,25,21,23,-,-,27,25,25,-,-,ALL SETS,11,Grozdanov Aleks,-,MB,3,3,0,0,-,-31.58,3,3,1,7,0,0,3,0,3,-100,0,3,6,9,-33.33,0,0,0,0,-,0,0,0,-,0,0,2,2,0
2021,1,2021/5/28,1,Preliminary ,Rimini,Italy,Bulgaria,France,0,3,25,21,23,-,-,27,25,25,-,-,ALL SETS,12,Petrov Georgi,-,OH,3,3,0,0,-,0,3,1,2,6,33.33,0,1,0,1,-100,0,1,2,3,-33.33,7,2,7,16,31.25,0,0,0,-,0,0,0,0,-
2021,1,2021/5/28,1,Preliminary ,Rimini,Italy,Bulgaria,France,0,3,25,21,23,-,-,27,25,25,-,-,ALL SETS,14,Asparuhov Asparuh,-,OH,3,3,0,0,-,33.33,3,0,2,5,60,0,0,0,0,-,0,0,4,4,0,3,0,6,9,33.33,0,0,0,-,0,0,1,1,0
2021,1,2021/5/28,1,Preliminary ,Rimini,Italy,Bulgaria,France,0,3,25,21,23,-,-,27,25,25,-,-,ALL SETS,16,Ivanov Vladislav,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,8,0,5,13,61.54,8,0,10,80,0,0,5,5,0
