Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Receiver points won,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,ALL,28/73 (38%),47/60 (78%),39,35,2,2,-,35,8,53,96,2,20,16,38,2,11,47,60,30,5,29,64,17,7,26,32,0,65,97
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,1,10/24 (42%),15/22 (68%),15,11,2,2,-,11,1,21,33,2,10,9,21,2,1,19,22,8,2,10,20,1,2,4,6,0,28,34
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,2,11/25 (44%),14/19 (74%),12,12,0,0,-,12,3,18,33,0,2,2,4,0,8,11,19,12,2,9,23,12,0,12,18,0,14,32
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,3,7/24 (29%),18/19 (95%),12,12,0,0,-,12,4,14,30,0,8,5,13,0,2,17,19,10,1,10,21,4,5,10,8,0,23,31
2021,1,2021/5/25,1,Preliminary ,Rimini,Italy,Belgium,Netherlands,0,3,21,19,18,-,-,25,25,25,-,-,ALL,13/60 (22%),45/73 (62%),58,47,6,5,-,47,12,48,107,6,16,21,43,5,9,59,73,24,2,23,49,45,9,57,36,0,66,102
2021,1,2021/5/25,1,Preliminary ,Rimini,Italy,Belgium,Netherlands,0,3,21,19,18,-,-,25,25,25,-,-,1,7/22 (32%),14/24 (58%),21,18,1,2,-,18,4,17,39,1,4,7,12,2,4,18,24,11,2,8,21,17,4,23,13,0,24,37
2021,1,2021/5/25,1,Preliminary ,Rimini,Italy,Belgium,Netherlands,0,3,21,19,18,-,-,25,25,25,-,-,2,5/19 (26%),14/25 (56%),15,11,2,2,-,11,5,17,33,2,6,5,13,2,2,21,25,6,0,5,11,16,3,19,11,0,20,31
2021,1,2021/5/25,1,Preliminary ,Rimini,Italy,Belgium,Netherlands,0,3,21,19,18,-,-,25,25,25,-,-,3,1/19 (5%),17/24 (71%),22,18,3,1,-,18,3,14,35,3,6,9,18,1,3,20,24,7,0,10,17,12,2,15,12,0,22,34
2021,2,2021/5/25,1,Preliminary,Rimini,Italy,Türkiye,Serbia,3,2,25,18,25,22,16,21,25,23,25,14,ALL,45/105 (43%),61/109 (56%),83,56,18,9,-,56,27,85,168,18,19,24,61,9,15,85,109,32,6,61,99,65,11,87,9,0,155,164
2021,2,2021/5/25,1,Preliminary,Rimini,Italy,Türkiye,Serbia,3,2,25,18,25,22,16,21,25,23,25,14,1,13/24 (54%),12/22 (55%),13,9,1,3,-,9,7,11,27,1,3,1,5,3,4,15,22,6,2,13,21,6,2,11,1,0,24,25
2021,2,2021/5/25,1,Preliminary,Rimini,Italy,Türkiye,Serbia,3,2,25,18,25,22,16,21,25,23,25,14,2,6/19 (32%),12/24 (50%),20,13,5,2,-,13,4,15,32,5,3,2,10,2,2,20,24,8,0,11,19,10,3,14,2,0,30,32
2021,2,2021/5/25,1,Preliminary,Rimini,Italy,Türkiye,Serbia,3,2,25,18,25,22,16,21,25,23,25,14,3,11/24 (46%),14/24 (58%),20,11,5,4,-,11,3,14,28,5,7,8,20,4,3,17,24,7,3,12,22,9,2,14,2,0,25,27
2021,2,2021/5/25,1,Preliminary,Rimini,Italy,Türkiye,Serbia,3,2,25,18,25,22,16,21,25,23,25,14,4,9/23 (39%),13/24 (54%),19,15,4,0,-,15,6,24,45,4,5,10,19,0,2,22,24,6,0,16,22,20,3,26,2,0,44,46
2021,2,2021/5/25,1,Preliminary,Rimini,Italy,Türkiye,Serbia,3,2,25,18,25,22,16,21,25,23,25,14,5,6/15 (40%),10/15 (67%),11,8,3,0,-,8,7,21,36,3,1,3,7,0,4,11,15,5,1,9,15,20,1,22,2,0,32,34
2021,2,2021/5/25,1,Preliminary ,Rimini,Italy,Serbia,Türkiye,2,3,21,25,23,25,14,25,18,25,22,16,ALL,48/109 (44%),60/105 (57%),76,57,13,6,-,57,36,69,162,13,19,33,65,6,6,93,105,27,9,58,94,77,6,94,18,1,138,157
2021,2,2021/5/25,1,Preliminary ,Rimini,Italy,Serbia,Türkiye,2,3,21,25,23,25,14,25,18,25,22,16,1,10/22 (45%),11/24 (46%),17,12,3,2,-,12,6,9,27,3,4,5,12,2,3,19,24,7,3,8,18,11,2,13,3,0,21,24
2021,2,2021/5/25,1,Preliminary ,Rimini,Italy,Serbia,Türkiye,2,3,21,25,23,25,14,25,18,25,22,16,2,12/24 (50%),13/19 (68%),14,12,2,0,-,12,10,9,31,2,5,6,13,0,0,19,19,9,2,11,22,10,0,12,5,0,25,30
2021,2,2021/5/25,1,Preliminary ,Rimini,Italy,Serbia,Türkiye,2,3,21,25,23,25,14,25,18,25,22,16,3,10/24 (42%),13/24 (54%),20,15,2,3,-,15,6,16,37,2,4,5,11,3,2,19,24,4,4,13,21,20,1,23,2,0,34,36
2021,2,2021/5/25,1,Preliminary ,Rimini,Italy,Serbia,Türkiye,2,3,21,25,23,25,14,25,18,25,22,16,4,11/24 (46%),14/23 (61%),16,14,2,0,-,14,8,21,43,2,5,9,16,0,1,22,23,5,0,17,22,21,1,25,6,1,37,44
2021,2,2021/5/25,1,Preliminary ,Rimini,Italy,Serbia,Türkiye,2,3,21,25,23,25,14,25,18,25,22,16,5,5/15 (33%),9/15 (60%),9,4,4,1,-,4,6,14,24,4,1,8,13,1,0,14,15,2,0,9,11,15,2,21,2,0,21,23
2021,3,2021/5/25,1,Preliminary ,Rimini,Italy,Russia,Germany,3,0,25,25,25,-,-,21,22,19,-,-,ALL,36/73 (49%),39/64 (61%),56,46,5,5,-,46,9,34,89,5,20,24,49,5,5,62,72,19,7,33,59,32,5,39,6,0,81,87
2021,3,2021/5/25,1,Preliminary ,Rimini,Italy,Russia,Germany,3,0,25,25,25,-,-,21,22,19,-,-,1,11/24 (46%),14/22 (64%),21,20,1,0,-,20,2,12,34,1,9,10,20,0,1,23,24,7,2,13,22,14,1,16,6,0,29,35
