Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2024,1,2024/5/21,1,1,Antalya,Türkiye,Bulgaria,France,0,3,21,24,14,-,-,25,26,25,-,-,0,40,34,3,3,,-55.38,34,20,25,79,238.05,3,11,7,21,-304.29,3,13,44,60,-243.34,15,4,41,60,75.98,24,9,34,512.62,26,1,50,77,-61.19
2024,1,2024/5/21,1,1,Antalya,Türkiye,Bulgaria,France,0,3,21,24,14,-,-,25,26,25,-,-,1,15,14,0,1,,7.23,14,5,10,29,269.17,0,2,2,4,-100,1,6,14,21,-236.67,8,1,12,21,123.81,8,3,12,100,11,0,18,29,42.31
2024,1,2024/5/21,1,1,Antalya,Türkiye,Bulgaria,France,0,3,21,24,14,-,-,25,26,25,-,-,2,15,10,3,2,,-25.43,10,7,11,28,120.84,3,6,3,12,-200,2,3,20,25,-58.33,4,2,12,18,68.46,13,4,17,383.33,9,0,17,26,42.86
2024,1,2024/5/21,1,1,Antalya,Türkiye,Bulgaria,France,0,3,21,24,14,-,-,25,26,25,-,-,3,10,10,0,0,,-204.05,10,8,4,22,13.33,0,3,2,5,-300,0,4,10,14,-300,3,1,17,21,28.57,3,2,5,0,6,1,15,22,-70
2024,1,2024/5/21,1,1,Antalya,Türkiye,France,Bulgaria,3,0,25,26,25,-,-,21,24,14,-,-,0,51,38,9,4,,79.89,38,7,21,66,395.37,9,11,10,30,-51.66,4,15,56,75,-145.91,17,3,27,47,74.16,19,11,36,197.05,18,0,45,63,33.96
2024,1,2024/5/21,1,1,Antalya,Türkiye,France,Bulgaria,3,0,25,26,25,-,-,21,24,14,-,-,1,17,13,3,1,,160.16,13,2,8,23,258.33,3,5,5,13,33.33,1,4,20,25,-103.33,7,1,7,15,25,7,5,13,0,8,0,14,22,42.11
2024,1,2024/5/21,1,1,Antalya,Türkiye,France,Bulgaria,3,0,25,26,25,-,-,21,24,14,-,-,2,18,14,2,2,,-13.04,14,5,10,29,216.67,2,4,3,9,-66.67,2,7,16,25,-161.9,8,2,12,22,133.33,8,3,16,236.67,5,0,24,29,21.74
2024,1,2024/5/21,1,1,Antalya,Türkiye,France,Bulgaria,3,0,25,26,25,-,-,21,24,14,-,-,3,16,11,4,1,,129.23,11,0,3,14,500,4,2,2,8,100,1,4,20,25,-129.17,2,0,8,10,64.29,4,3,7,166.67,5,0,7,12,45.45
2024,2,2024/5/21,1,1,Antalya,Türkiye,Türkiye,Canada,1,3,25,23,21,21,-,17,25,25,25,-,0,61,44,12,5,,17.21,44,12,45,101,271.82,12,14,18,44,-195,5,15,71,91,-59.23,13,12,48,73,43.57,38,19,60,385.61,13,2,84,99,14.29
2024,2,2024/5/21,1,1,Antalya,Türkiye,Türkiye,Canada,1,3,25,23,21,21,-,17,25,25,25,-,1,17,10,5,2,,5.05,10,2,12,24,76.77,5,3,6,14,-4.17,2,6,16,24,-128.33,2,1,11,14,14.29,12,3,16,350,2,0,21,23,13.33
2024,2,2024/5/21,1,1,Antalya,Türkiye,Türkiye,Canada,1,3,25,23,21,21,-,17,25,25,25,-,2,17,10,5,2,,93.01,10,2,12,24,203.57,5,2,4,11,90,2,4,18,24,-44.04,3,5,12,20,-33.34,8,5,14,120,3,1,21,25,10
2024,2,2024/5/21,1,1,Antalya,Türkiye,Türkiye,Canada,1,3,25,23,21,21,-,17,25,25,25,-,3,14,13,1,0,,60.81,13,5,10,28,157.22,1,1,5,7,-66.67,0,3,18,21,-91.67,3,4,14,21,18.89,10,8,19,100.01,4,0,24,28,17.39
