Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2024,1,2024/5/14,1,1,Antalya,Türkiye,Bulgaria,Netherlands,0,3,14 ,20 ,22 ,-,-,25 ,25 ,25 ,-,-,ALL SETS,5,Yordanova ,-,OH,9,7,0,2,-,7.5,7,5,15,27,7.41,0,0,2,2,0,2,1,8,11,9.09,2,2,27,31,0,4,4,9,0,0,0,0,0,-
2024,1,2024/5/14,1,1,Antalya,Türkiye,Bulgaria,Netherlands,0,3,14 ,20 ,22 ,-,-,25 ,25 ,25 ,-,-,ALL SETS,6,Paskova,C,OH,11,10,0,1,-,8.33,10,6,6,22,18.18,0,2,2,4,-50,1,0,9,10,10,6,1,21,28,17.86,6,4,11,18.18,0,0,5,5,0
2024,1,2024/5/14,1,1,Antalya,Türkiye,Bulgaria,Netherlands,0,3,14 ,20 ,22 ,-,-,25 ,25 ,25 ,-,-,ALL SETS,8,Barakova ,-,S,4,1,3,0,-,20,1,0,1,2,50,3,0,3,6,50,0,1,6,7,-14.29,0,0,1,1,0,12,1,15,73.33,8,0,54,62,12.9
2024,1,2024/5/14,1,1,Antalya,Türkiye,Bulgaria,Netherlands,0,3,14 ,20 ,22 ,-,-,25 ,25 ,25 ,-,-,ALL SETS,9,Becheva ,-,OH,2,2,0,0,-,25,2,0,5,7,28.57,0,0,1,1,0,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,1,2024/5/14,1,1,Antalya,Türkiye,Bulgaria,Netherlands,0,3,14 ,20 ,22 ,-,-,25 ,25 ,25 ,-,-,ALL SETS,10,Rachkovska ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,1,2024/5/14,1,1,Antalya,Türkiye,Bulgaria,Netherlands,0,3,14 ,20 ,22 ,-,-,25 ,25 ,25 ,-,-,ALL SETS,11,Krivoshiyska ,-,MB,5,1,3,1,-,4.55,1,0,4,5,20,3,2,4,9,11.11,1,2,5,8,-12.5,0,0,0,0,-,1,2,4,-25,0,0,2,2,0
2024,1,2024/5/14,1,1,Antalya,Türkiye,Bulgaria,Netherlands,0,3,14 ,20 ,22 ,-,-,25 ,25 ,25 ,-,-,ALL SETS,12,Dudova ,-,O,7,6,1,0,-,-8.11,6,4,14,24,8.33,1,3,4,8,-25,0,3,2,5,-60,0,0,0,0,-,3,1,4,50,0,0,0,0,-
2024,1,2024/5/14,1,1,Antalya,Türkiye,Bulgaria,Netherlands,0,3,14 ,20 ,22 ,-,-,25 ,25 ,25 ,-,-,ALL SETS,13,Pashkuleva ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,4,1,5,60,0,0,7,7,0
2024,1,2024/5/14,1,1,Antalya,Türkiye,Bulgaria,Netherlands,0,3,14 ,20 ,22 ,-,-,25 ,25 ,25 ,-,-,ALL SETS,14,B. Saykova ,-,MB,4,3,1,0,-,3.45,3,0,3,6,50,1,3,7,11,-18.18,0,0,12,12,0,0,0,0,0,-,4,1,5,60,0,0,4,4,0
2024,1,2024/5/14,1,1,Antalya,Türkiye,Bulgaria,Netherlands,0,3,14 ,20 ,22 ,-,-,25 ,25 ,25 ,-,-,ALL SETS,15,Todorova ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,7,7,0,9,3,12,50,0,0,12,12,0
2024,1,2024/5/14,1,1,Antalya,Türkiye,Bulgaria,Netherlands,0,3,14 ,20 ,22 ,-,-,25 ,25 ,25 ,-,-,ALL SETS,23,Stoyanova ,-,O,5,5,0,0,-,0,5,4,9,18,5.56,0,1,2,3,-33.33,0,0,2,2,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
