Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Service,Receiver points won,Receiver,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Men,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,ALL,28,96,69,92,69,57,6,6,-,57,17,43,117,6,20,24,50,6,17,73,96,20,2,52,74,31,18,72,34,1,85,120
Men,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,1,8,25,17,22,17,15,1,1,-,15,5,9,29,1,3,10,14,1,4,20,25,5,0,12,17,9,7,21,8,1,21,30
Men,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,2,6,22,16,25,16,13,2,1,-,13,5,12,30,2,8,4,14,1,2,19,22,5,1,15,21,6,5,16,9,0,21,30
Men,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,3,8,25,17,22,21,16,2,3,-,16,3,4,23,2,5,3,10,3,6,16,25,6,1,12,19,5,2,10,8,0,18,26
Men,1,2025/6/11,3,1,Xi'an,China,Poland,Netherlands,3,1,25,22,25,25,-,22,25,22,22,-,4,6,24,19,23,15,13,1,1,-,13,4,18,35,1,4,7,12,1,5,18,24,4,0,13,17,11,4,25,9,0,25,34
Men,1,2025/6/11,3,1,Xi'an,China,Netherlands,Poland,1,3,22,25,22,22,-,25,22,25,25,-,ALL,23,92,68,96,67,54,11,2,-,54,15,57,126,11,16,15,42,2,18,72,92,19,6,54,79,31,21,81,34,1,91,126
Men,1,2025/6/11,3,1,Xi'an,China,Netherlands,Poland,1,3,22,25,22,22,-,25,22,25,25,-,1,5,22,17,25,15,12,3,0,-,12,3,15,30,3,2,5,10,0,5,17,22,5,1,15,21,4,5,19,8,1,23,32
Men,1,2025/6/11,3,1,Xi'an,China,Netherlands,Poland,1,3,22,25,22,22,-,25,22,25,25,-,2,9,25,16,22,21,17,3,1,-,17,4,12,33,3,3,3,9,1,4,20,25,2,1,17,20,10,7,22,8,0,24,32
Men,1,2025/6/11,3,1,Xi'an,China,Netherlands,Poland,1,3,22,25,22,22,-,25,22,25,25,-,3,5,22,17,25,15,12,2,1,-,12,3,11,26,2,7,2,11,1,3,18,22,7,3,9,19,5,4,13,7,0,18,25
Men,1,2025/6/11,3,1,Xi'an,China,Netherlands,Poland,1,3,22,25,22,22,-,25,22,25,25,-,4,4,23,18,24,16,13,3,0,-,13,5,19,37,3,4,5,12,0,6,17,23,5,1,13,19,12,5,27,11,0,26,37
