Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Service,Receiver points won,Receiver,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Women,1,2025/6/4,3,1,Beijing,China,France,Türkiye,1,3,17,25,13,14,-,25,23,25,25,-,ALL,19,70,50,97,48,40,7,1,-,40,22,57,119,7,16,10,33,1,13,56,70,14,9,63,86,34,13,65,10,0,106,116
Women,1,2025/6/4,3,1,Beijing,China,France,Türkiye,1,3,17,25,13,14,-,25,23,25,25,-,1,6,18,11,24,13,10,2,1,-,10,4,14,28,2,2,4,8,1,5,11,17,5,5,13,23,9,1,13,2,0,26,28
Women,1,2025/6/4,3,1,Beijing,China,France,Türkiye,1,3,17,25,13,14,-,25,23,25,25,-,2,9,24,16,24,15,12,3,0,-,12,5,18,35,3,5,4,12,0,4,21,25,5,1,14,20,10,4,21,3,0,30,33
Women,1,2025/6/4,3,1,Beijing,China,France,Türkiye,1,3,17,25,13,14,-,25,23,25,25,-,3,2,14,11,24,10,9,1,0,-,9,7,14,30,1,1,1,3,0,3,10,13,3,1,19,23,7,3,17,4,0,26,30
Women,1,2025/6/4,3,1,Beijing,China,France,Türkiye,1,3,17,25,13,14,-,25,23,25,25,-,4,2,14,12,25,10,9,1,0,-,9,6,11,26,1,8,1,10,0,1,14,15,1,2,17,20,8,5,14,1,0,24,25
Women,1,2025/6/4,3,1,Beijing,China,Türkiye,France,3,1,25,23,25,25,-,17,25,13,14,-,ALL,47,97,51,70,75,53,13,9,-,53,16,40,109,13,14,23,50,9,11,77,97,12,1,44,57,50,6,68,32,1,75,108
Women,1,2025/6/4,3,1,Beijing,China,Türkiye,France,3,1,25,23,25,25,-,17,25,13,14,-,1,13,24,12,18,19,11,3,5,-,11,4,11,26,3,8,6,17,5,2,18,25,4,1,7,12,11,0,16,7,0,18,25
Women,1,2025/6/4,3,1,Beijing,China,Türkiye,France,3,1,25,23,25,25,-,17,25,13,14,-,2,8,24,15,24,16,13,2,1,-,13,9,12,34,2,4,10,16,1,3,19,23,3,0,18,21,12,1,20,11,1,22,34
Women,1,2025/6/4,3,1,Beijing,China,Türkiye,France,3,1,25,23,25,25,-,17,25,13,14,-,3,13,24,12,14,21,14,6,1,-,14,2,8,24,6,0,5,11,1,2,22,25,3,0,7,10,14,2,16,6,0,17,23
Women,1,2025/6/4,3,1,Beijing,China,Türkiye,France,3,1,25,23,25,25,-,17,25,13,14,-,4,13,25,12,14,19,15,2,2,-,15,1,9,25,2,2,2,6,2,4,18,24,2,0,12,14,13,3,16,8,0,18,26
