Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2026,1,46183,3,1,Linyi,China,Cuba,Poland,0,3,16,20,21,-,-,25,25,25,-,-,1,43,33,7,3,-,33,19,31,83,7,10,10,27,3,13,43,59,16,6,45,67,20,14,44,33,0,54,87
2026,1,46183,3,1,Linyi,China,Cuba,Poland,0,3,16,20,21,-,-,25,25,25,-,-,2,13,11,2,0,-,11,8,5,24,2,4,2,8,0,4,13,17,4,3,16,23,5,2,8,9,0,15,24
2026,1,46183,3,1,Linyi,China,Cuba,Poland,0,3,16,20,21,-,-,25,25,25,-,-,3,15,10,3,2,-,10,4,17,31,3,4,4,11,2,4,14,20,7,2,14,23,7,6,18,14,0,18,32
2026,1,46183,3,1,Linyi,China,Cuba,Poland,0,3,16,20,21,-,-,25,25,25,-,-,4,15,12,2,1,-,12,7,9,28,2,2,4,8,1,5,16,22,5,1,15,21,8,6,18,10,0,21,31
2026,1,46183,3,1,Linyi,China,Poland,Cuba,3,0,25,25,25,-,-,16,20,21,-,-,1,54,37,11,6,-,37,14,23,74,11,14,12,37,6,6,61,73,13,3,30,46,29,8,44,28,0,45,73
2026,1,46183,3,1,Linyi,China,Poland,Cuba,3,0,25,25,25,-,-,16,20,21,-,-,2,18,10,5,3,-,10,4,7,21,5,3,1,9,3,1,20,24,6,0,7,13,6,4,11,8,0,12,20
2026,1,46183,3,1,Linyi,China,Poland,Cuba,3,0,25,25,25,-,-,16,20,21,-,-,3,21,15,4,2,-,15,6,7,28,4,4,8,16,2,2,21,25,4,2,10,16,15,3,21,8,0,21,29
2026,1,46183,3,1,Linyi,China,Poland,Cuba,3,0,25,25,25,-,-,16,20,21,-,-,4,15,12,2,1,-,12,4,9,25,2,7,3,12,1,3,20,24,3,1,13,17,8,1,12,12,0,12,24
2026,2,46183,3,1,Linyi,China,China,Slovenia,2,3,17,25,25,23,10,25,20,20,25,15,1,75,60,11,4,-,60,21,42,123,11,25,15,51,4,16,81,101,17,2,70,89,27,24,64,45,0,78,123
2026,2,46183,3,1,Linyi,China,China,Slovenia,2,3,17,25,25,23,10,25,20,20,25,15,2,11,10,1,0,-,10,3,11,24,1,7,5,13,0,2,16,18,6,1,14,21,4,5,12,8,0,16,24
2026,2,46183,3,1,Linyi,China,China,Slovenia,2,3,17,25,25,23,10,25,20,20,25,15,3,17,12,4,1,-,12,7,12,31,4,5,4,13,1,4,19,24,4,0,12,16,7,3,17,5,0,24,29
2026,2,46183,3,1,Linyi,China,China,Slovenia,2,3,17,25,25,23,10,25,20,20,25,15,4,19,13,4,2,-,13,2,5,20,4,7,1,12,2,3,20,25,4,0,12,16,4,5,9,12,0,8,20
2026,2,46183,3,1,Linyi,China,China,Slovenia,2,3,17,25,25,23,10,25,20,20,25,15,5,20,18,1,1,-,18,6,5,29,1,4,4,9,1,6,16,23,3,0,20,23,6,6,14,11,0,20,31
2026,2,46183,3,1,Linyi,China,China,Slovenia,2,3,17,25,25,23,10,25,20,20,25,15,6,8,7,1,0,-,7,3,9,19,1,2,1,4,0,1,10,11,0,1,12,13,6,5,12,9,0,10,19
2026,2,46183,3,1,Linyi,China,Slovenia,China,3,2,25,20,20,25,15,17,25,25,23,10,1,78,63,13,2,-,63,18,34,115,13,31,19,63,2,15,87,104,21,4,60,85,26,22,65,47,0,72,119
2026,2,46183,3,1,Linyi,China,Slovenia,China,3,2,25,20,20,25,15,17,25,25,23,10,2,20,19,0,1,-,19,3,8,30,0,5,6,11,1,3,20,24,5,0,11,16,10,5,18,8,0,20,28
2026,2,46183,3,1,Linyi,China,Slovenia,China,3,2,25,20,20,25,15,17,25,25,23,10,3,13,8,5,0,-,8,6,11,25,5,9,8,22,0,5,16,21,5,1,14,20,5,3,11,12,0,14,26
2026,2,46183,3,1,Linyi,China,Slovenia,China,3,2,25,20,20,25,15,17,25,25,23,10,4,15,13,2,0,-,13,5,6,24,2,8,2,12,0,4,16,20,3,2,17,22,4,3,8,11,0,13,24
2026,2,46183,3,1,Linyi,China,Slovenia,China,3,2,25,20,20,25,15,17,25,25,23,10,5,18,13,5,0,-,13,2,6,21,5,6,2,13,0,2,23,25,6,1,10,17,3,10,18,9,0,15,24
2026,2,46183,3,1,Linyi,China,Slovenia,China,3,2,25,20,20,25,15,17,25,25,23,10,6,12,10,1,1,-,10,2,3,15,1,3,1,5,1,1,12,14,2,0,8,10,4,1,10,7,0,10,17
2026,3,46183,3,1,Linyi,China,Ukraine,Japan,0,3,22,21,22,-,-,25,25,25,-,-,1,53,38,10,5,-,38,15,29,82,10,16,16,42,5,13,49,67,16,4,45,65,21,15,41,26,3,54,83
2026,3,46183,3,1,Linyi,China,Ukraine,Japan,0,3,22,21,22,-,-,25,25,25,-,-,2,20,12,4,4,-,12,4,12,28,4,6,4,14,4,3,16,23,7,0,16,23,5,7,13,8,2,18,28
2026,3,46183,3,1,Linyi,China,Ukraine,Japan,0,3,22,21,22,-,-,25,25,25,-,-,3,17,13,3,1,-,13,5,6,24,3,7,8,18,1,2,18,21,6,2,14,22,7,3,11,6,1,19,26
2026,3,46183,3,1,Linyi,China,Ukraine,Japan,0,3,22,21,22,-,-,25,25,25,-,-,4,16,13,3,0,-,13,6,11,30,3,3,4,10,0,8,15,23,3,2,15,20,9,5,17,12,0,17,29
2026,3,46183,3,1,Linyi,China,Japan,Ukraine,3,0,25,25,25,-,-,22,21,22,-,-,1,48,39,5,4,-,39,14,27,80,5,12,9,26,4,8,61,73,11,5,38,54,27,15,54,18,0,64,82
2026,3,46183,3,1,Linyi,China,Japan,Ukraine,3,0,25,25,25,-,-,22,21,22,-,-,2,18,16,2,0,-,16,5,8,29,2,5,4,11,0,1,23,24,1,4,15,20,12,3,20,7,0,23,30
2026,3,46183,3,1,Linyi,China,Japan,Ukraine,3,0,25,25,25,-,-,22,21,22,-,-,3,18,14,2,2,-,14,4,10,28,2,3,2,7,2,3,20,25,5,1,13,19,6,6,17,7,0,21,28
2026,3,46183,3,1,Linyi,China,Japan,Ukraine,3,0,25,25,25,-,-,22,21,22,-,-,4,12,9,1,2,-,9,5,9,23,1,4,3,8,2,4,18,24,5,0,10,15,9,6,17,4,0,20,24
2026,4,46183,1,1,Ottawa,Canada,Türkiye,USA,1,3,20,25,20,23,-,25,20,25,25,-,1,64,53,5,6,-,53,15,36,104,5,26,21,52,6,16,67,89,16,2,58,76,26,17,52,27,0,75,102
