Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2022,1,2022/6/7,1,1,Brasilia,Brazil,Iran,China,3,1,25,19,25,25,-,15,25,22,15,-,ALL SETS,69,48,7,14,-,48,13,22,83,7,15,10,32,14,13,64,91,11,5,49,65,26,5,39,29,2,32,63
2022,1,2022/6/7,1,1,Brasilia,Brazil,Iran,China,3,1,25,19,25,25,-,15,25,22,15,-,SET 1,20,15,2,3,-,15,4,2,21,2,3,2,7,3,3,16,22,4,0,11,15,7,2,11,8,0,5,13
2022,1,2022/6/7,1,1,Brasilia,Brazil,Iran,China,3,1,25,19,25,25,-,15,25,22,15,-,SET 2,13,12,0,1,-,12,2,9,23,0,6,0,6,1,4,15,20,4,2,14,20,5,1,6,7,0,12,19
2022,1,2022/6/7,1,1,Brasilia,Brazil,Iran,China,3,1,25,19,25,25,-,15,25,22,15,-,SET 3,18,11,2,5,-,11,4,8,23,2,3,3,8,5,3,16,24,1,2,15,18,9,2,13,8,2,9,19
2022,1,2022/6/7,1,1,Brasilia,Brazil,Iran,China,3,1,25,19,25,25,-,15,25,22,15,-,SET 4,18,10,3,5,-,10,3,3,16,3,3,5,11,5,3,17,25,2,1,9,12,5,0,9,6,0,6,12
2022,1,2022/6/7,1,1,Brasilia,Brazil,China,Iran,1,3,15,25,22,15,-,25,19,25,25,-,ALL SETS,55,44,6,5,-,44,14,23,81,6,12,8,26,5,12,60,77,14,14,50,78,18,6,30,21,4,34,59
2022,1,2022/6/7,1,1,Brasilia,Brazil,China,Iran,1,3,15,25,22,15,-,25,19,25,25,-,SET 1,10,8,2,0,-,8,4,6,18,2,3,2,7,0,1,15,16,5,3,11,19,2,3,5,5,2,5,12
2022,1,2022/6/7,1,1,Brasilia,Brazil,China,Iran,1,3,15,25,22,15,-,25,19,25,25,-,SET 2,20,17,1,2,-,17,1,1,19,1,3,3,7,2,4,18,24,2,1,13,16,5,2,9,6,0,7,13
2022,1,2022/6/7,1,1,Brasilia,Brazil,China,Iran,1,3,15,25,22,15,-,25,19,25,25,-,SET 3,15,11,2,2,-,11,2,6,19,2,3,2,7,2,4,16,22,4,5,12,21,4,0,6,4,2,8,14
2022,1,2022/6/7,1,1,Brasilia,Brazil,China,Iran,1,3,15,25,22,15,-,25,19,25,25,-,SET 4,10,8,1,1,-,8,7,10,25,1,3,1,5,1,3,11,15,3,5,14,22,7,1,10,6,0,14,20
2022,2,2022/6/7,1,1,Brasilia,Brazil,United States,Slovenia,3,0,25,25,25,-,-,19,19,14,-,-,ALL SETS,57,36,14,7,-,36,9,22,67,14,9,20,43,7,13,54,74,10,3,28,41,28,5,38,18,0,22,40
2022,2,2022/6/7,1,1,Brasilia,Brazil,United States,Slovenia,3,0,25,25,25,-,-,19,19,14,-,-,SET 1,22,14,8,0,-,14,1,8,23,8,3,6,17,0,5,20,25,4,2,10,16,9,3,13,8,0,6,14
2022,2,2022/6/7,1,1,Brasilia,Brazil,United States,Slovenia,3,0,25,25,25,-,-,19,19,14,-,-,SET 2,18,13,2,3,-,13,6,9,28,2,4,7,13,3,2,19,24,5,1,11,17,13,1,16,8,0,8,16
2022,2,2022/6/7,1,1,Brasilia,Brazil,United States,Slovenia,3,0,25,25,25,-,-,19,19,14,-,-,SET 3,17,9,4,4,-,9,2,5,16,4,2,7,13,4,6,15,25,1,0,7,8,6,1,9,2,0,8,10
2022,2,2022/6/7,1,1,Brasilia,Brazil,Slovenia,United States,0,3,19,19,14,-,-,25,25,25,-,-,ALL SETS,34,27,4,3,-,27,20,30,77,4,7,12,23,3,12,38,53,14,7,40,61,26,8,37,20,0,25,45
2022,2,2022/6/7,1,1,Brasilia,Brazil,Slovenia,United States,0,3,19,19,14,-,-,25,25,25,-,-,SET 1,13,11,0,2,-,11,8,10,29,0,3,3,6,2,3,14,19,8,0,12,20,10,2,13,13,0,7,20
2022,2,2022/6/7,1,1,Brasilia,Brazil,Slovenia,United States,0,3,19,19,14,-,-,25,25,25,-,-,SET 2,13,10,2,1,-,10,6,12,28,2,3,5,10,1,3,16,20,3,3,16,22,9,2,13,5,0,8,13
2022,2,2022/6/7,1,1,Brasilia,Brazil,Slovenia,United States,0,3,19,19,14,-,-,25,25,25,-,-,SET 3,8,6,2,0,-,6,6,8,20,2,1,4,7,0,6,8,14,3,4,12,19,7,4,11,2,0,10,12
