Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,ALL SETS,2,Van Sas Elise,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,ALL SETS,3,Herbots Britt,-,OH,13,13,0,0,-,11.76,13,3,20,36,27.78,0,2,6,8,-25,0,2,5,7,-28.57,10,1,7,18,50,2,0,3,66.67,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,ALL SETS,5,Guilliams Jodie,-,OH,5,5,0,0,-,3.57,5,2,10,17,17.65,0,0,2,2,0,0,2,7,9,-22.22,1,1,4,6,0,1,2,3,-33.33,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,ALL SETS,6,Gilson Helena,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,ALL SETS,7,Van Gestel Celine,-,OH,5,4,0,1,-,-8.57,4,1,12,17,17.65,0,5,2,7,-71.43,1,2,8,11,-9.09,7,1,10,18,33.33,3,1,4,50,0,0,2,2,0
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,ALL SETS,9,Demeyer Nel,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,ALL SETS,10,Sobolska Dominika,-,MB,2,2,0,0,-,-28.57,2,1,4,7,14.29,0,5,4,9,-55.56,0,2,3,5,-40,1,0,0,1,100,0,0,1,0,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,ALL SETS,13,Janssens Marlies,-,MB,11,10,1,0,-,8.33,10,1,5,16,56.25,1,5,2,8,-50,0,2,10,12,-16.67,0,0,0,0,-,3,0,3,100,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,ALL SETS,14,De Valkeneer Lise,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,ALL SETS,15,Van De Vyver Jutta,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,ALL SETS,17,Van De Vyver Ilka,C,S,3,1,1,1,-,0,1,0,1,2,50,1,3,0,4,-50,1,0,10,11,9.09,0,1,0,1,-100,3,1,4,50,32,0,59,91,35.16
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,ALL SETS,18,Rampelberg Britt,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,11,1,8,20,50,5,3,8,25,0,0,4,4,0
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,ALL SETS,19,Van Avermaet Silke,-,MB,0,0,0,0,-,0,0,0,1,1,0,0,0,0,0,-,0,0,1,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,ALL SETS,21,Stragier Manon,-,OH,0,0,0,0,-,-25,0,0,0,0,-,0,0,0,0,-,0,1,3,4,-25,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 1,2,Van Sas Elise,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 1,3,Herbots Britt,-,OH,5,5,0,0,-,15.79,5,1,7,13,30.77,0,1,3,4,-25,0,0,2,2,0,3,0,4,7,42.86,0,0,1,0,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 1,5,Guilliams Jodie,-,OH,2,2,0,0,-,7.14,2,0,7,9,22.22,0,0,2,2,0,0,1,2,3,-33.33,0,1,1,2,-50,0,1,1,-100,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 1,6,Gilson Helena,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 1,7,Van Gestel Celine,-,OH,3,2,0,1,-,23.08,2,0,3,5,40,0,0,2,2,0,1,0,5,6,16.67,2,0,4,6,33.33,0,1,1,-100,0,0,1,1,0
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 1,9,Demeyer Nel,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 1,10,Sobolska Dominika,-,MB,0,0,0,0,-,-44.44,0,0,2,2,0,0,4,2,6,-66.67,0,0,1,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 1,13,Janssens Marlies,-,MB,3,2,1,0,-,-8.33,2,0,2,4,50,1,4,0,5,-60,0,0,3,3,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 1,14,De Valkeneer Lise,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 1,15,Van De Vyver Jutta,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 1,17,Van De Vyver Ilka,C,S,2,0,1,1,-,14.29,0,0,0,0,-,1,1,0,2,0,1,0,4,5,20,0,0,0,0,-,0,0,0,-,6,0,24,30,20
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 1,18,Rampelberg Britt,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,3,1,1,5,40,1,0,1,100,0,0,3,3,0
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 1,19,Van Avermaet Silke,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 1,21,Stragier Manon,-,OH,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,2,2,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 2,2,Van Sas Elise,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 2,3,Herbots Britt,-,OH,3,3,0,0,-,6.67,3,1,8,12,16.67,0,0,1,1,0,0,1,1,2,-50,2,1,1,4,25,1,0,1,100,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 2,5,Guilliams Jodie,-,OH,1,1,0,0,-,-12.5,1,1,2,4,0,0,0,0,0,-,0,1,3,4,-25,1,0,2,3,33.33,1,0,1,100,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 2,6,Gilson Helena,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 2,7,Van Gestel Celine,-,OH,1,1,0,0,-,-11.11,1,0,5,6,16.67,0,1,0,1,-100,0,1,1,2,-50,4,0,3,7,57.14,2,0,2,100,0,0,1,1,0
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 2,9,Demeyer Nel,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 2,10,Sobolska Dominika,-,MB,1,1,0,0,-,-25,1,0,0,1,100,0,0,1,1,0,0,2,0,2,-100,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 2,13,Janssens Marlies,-,MB,5,5,0,0,-,7.14,5,1,2,8,50,0,1,0,1,-100,0,2,3,5,-40,0,0,0,0,-,3,0,3,100,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 2,14,De Valkeneer Lise,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 2,15,Van De Vyver Jutta,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 2,17,Van De Vyver Ilka,C,S,1,1,0,0,-,20,1,0,1,2,50,0,0,0,0,-,0,0,3,3,0,0,1,0,1,-100,2,0,2,100,18,0,13,31,58.06
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 2,18,Rampelberg Britt,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,5,0,3,8,62.5,3,0,3,100,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 2,19,Van Avermaet Silke,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 2,21,Stragier Manon,-,OH,0,0,0,0,-,-100,0,0,0,0,-,0,0,0,0,-,0,1,0,1,-100,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 3,2,Van Sas Elise,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 3,3,Herbots Britt,-,OH,5,5,0,0,-,11.76,5,1,5,11,36.36,0,1,2,3,-33.33,0,1,2,3,-33.33,5,0,2,7,71.43,1,0,1,100,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 3,5,Guilliams Jodie,-,OH,2,2,0,0,-,16.67,2,1,1,4,25,0,0,0,0,-,0,0,2,2,0,0,0,1,1,0,0,1,1,-100,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 3,6,Gilson Helena,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 3,7,Van Gestel Celine,-,OH,1,1,0,0,-,-38.46,1,1,4,6,0,0,4,0,4,-100,0,1,2,3,-33.33,1,1,3,5,0,1,0,1,100,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 3,9,Demeyer Nel,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 3,10,Sobolska Dominika,-,MB,1,1,0,0,-,-12.5,1,1,2,4,0,0,1,1,2,-50,0,0,2,2,0,1,0,0,1,100,0,0,1,0,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 3,13,Janssens Marlies,-,MB,3,3,0,0,-,30,3,0,1,4,75,0,0,2,2,0,0,0,4,4,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 3,14,De Valkeneer Lise,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 3,15,Van De Vyver Jutta,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 3,17,Van De Vyver Ilka,C,S,0,0,0,0,-,-40,0,0,0,0,-,0,2,0,2,-100,0,0,3,3,0,0,0,0,0,-,1,1,2,0,8,0,22,30,26.67
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 3,18,Rampelberg Britt,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,3,0,4,7,42.86,1,3,4,-50,0,0,1,1,0
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 3,19,Van Avermaet Silke,-,MB,0,0,0,0,-,0,0,0,1,1,0,0,0,0,0,-,0,0,1,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2021,1,2021/5/25,1,Preliminary,Rimini,Italy,Netherlands,Belgium,3,0,25,25,25,-,-,21,19,18,-,-,SET 3,21,Stragier Manon,-,OH,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
