Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2022,1,2022/5/31,1,1,"Shreveport-Bossier City, LA",USA,Brazil,Germany,3,1,29,23,27,25,-,27,25,25,21,-,ALL SETS,80,64,13,3,-,64,20,75,159,13,16,16,45,3,7,92,102,53,5,30,88,79,18,100,24,0,133,157
2022,1,2022/5/31,1,1,"Shreveport-Bossier City, LA",USA,Brazil,Germany,3,1,29,23,27,25,-,27,25,25,21,-,SET 1,25,18,6,1,-,18,5,11,34,6,4,1,11,1,2,26,29,17,1,7,25,13,4,17,9,0,26,35
2022,1,2022/5/31,1,1,"Shreveport-Bossier City, LA",USA,Brazil,Germany,3,1,29,23,27,25,-,27,25,25,21,-,SET 2,17,13,2,2,-,13,5,28,46,2,6,8,16,2,2,19,23,15,0,8,23,25,3,30,5,0,39,44
2022,1,2022/5/31,1,1,"Shreveport-Bossier City, LA",USA,Brazil,Germany,3,1,29,23,27,25,-,27,25,25,21,-,SET 3,18,15,3,0,-,15,7,22,44,3,4,4,11,0,1,25,26,8,1,10,19,26,5,31,4,0,39,43
2022,1,2022/5/31,1,1,"Shreveport-Bossier City, LA",USA,Brazil,Germany,3,1,29,23,27,25,-,27,25,25,21,-,SET 4,20,18,2,0,-,18,3,14,35,2,2,3,7,0,2,22,24,13,3,5,21,15,6,22,6,0,29,35
2022,1,2022/5/31,1,1,"Shreveport-Bossier City, LA",USA,Germany,Brazil,1,3,27,25,25,21,-,29,23,27,25,-,ALL SETS,75,64,6,5,-,64,24,81,169,6,22,16,44,5,11,83,99,54,3,38,95,79,16,97,31,0,123,154
2022,1,2022/5/31,1,1,"Shreveport-Bossier City, LA",USA,Germany,Brazil,1,3,27,25,25,21,-,29,23,27,25,-,SET 1,22,19,2,1,-,19,8,14,41,2,6,2,10,1,2,24,27,14,1,12,27,13,6,19,7,0,32,39
2022,1,2022/5/31,1,1,"Shreveport-Bossier City, LA",USA,Germany,Brazil,1,3,27,25,25,21,-,29,23,27,25,-,SET 2,18,17,1,0,-,17,6,30,53,1,5,7,13,0,2,23,25,11,2,8,21,33,2,36,5,0,41,46
2022,1,2022/5/31,1,1,"Shreveport-Bossier City, LA",USA,Germany,Brazil,1,3,27,25,25,21,-,29,23,27,25,-,SET 3,18,15,2,1,-,15,5,22,42,2,4,5,11,1,6,18,25,13,0,12,25,21,5,26,11,0,27,38
2022,1,2022/5/31,1,1,"Shreveport-Bossier City, LA",USA,Germany,Brazil,1,3,27,25,25,21,-,29,23,27,25,-,SET 4,17,13,1,3,-,13,5,15,33,1,7,2,10,3,1,18,22,16,0,6,22,12,3,16,8,0,23,31
2022,2,2022/5/31,1,1,"Shreveport-Bossier City, LA",USA,Dominican Republic,United States,0,3,21,17,18,-,-,25,25,25,-,-,ALL SETS,39,32,7,0,-,32,20,52,104,7,8,11,26,0,4,54,58,28,4,34,66,50,8,60,5,0,92,97
2022,2,2022/5/31,1,1,"Shreveport-Bossier City, LA",USA,Dominican Republic,United States,0,3,21,17,18,-,-,25,25,25,-,-,SET 1,15,11,4,0,-,11,8,20,39,4,1,6,11,0,0,22,22,9,0,13,22,18,2,20,1,0,34,35
2022,2,2022/5/31,1,1,"Shreveport-Bossier City, LA",USA,Dominican Republic,United States,0,3,21,17,18,-,-,25,25,25,-,-,SET 2,13,11,2,0,-,11,8,16,35,2,4,1,7,0,2,15,17,8,2,12,22,16,3,20,2,0,31,33
2022,2,2022/5/31,1,1,"Shreveport-Bossier City, LA",USA,Dominican Republic,United States,0,3,21,17,18,-,-,25,25,25,-,-,SET 3,11,10,1,0,-,10,4,16,30,1,3,4,8,0,2,17,19,11,2,9,22,16,3,20,2,0,27,29
2022,2,2022/5/31,1,1,"Shreveport-Bossier City, LA",USA,United States,Dominican Republic,3,0,25,25,25,-,-,21,17,18,-,-,ALL SETS,60,47,9,4,-,47,16,44,107,9,14,16,39,4,7,62,73,34,0,20,54,50,11,62,23,0,67,90
2022,2,2022/5/31,1,1,"Shreveport-Bossier City, LA",USA,United States,Dominican Republic,3,0,25,25,25,-,-,21,17,18,-,-,SET 1,19,17,2,0,-,17,8,17,42,2,4,4,10,0,2,22,24,16,0,6,22,18,4,22,9,0,25,34
2022,2,2022/5/31,1,1,"Shreveport-Bossier City, LA",USA,United States,Dominican Republic,3,0,25,25,25,-,-,21,17,18,-,-,SET 2,20,13,5,2,-,13,3,11,27,5,6,6,17,2,3,20,25,7,0,8,15,14,1,15,8,0,15,23
2022,2,2022/5/31,1,1,"Shreveport-Bossier City, LA",USA,United States,Dominican Republic,3,0,25,25,25,-,-,21,17,18,-,-,SET 3,21,17,2,2,-,17,5,16,38,2,4,6,12,2,2,20,24,11,0,6,17,18,6,25,6,0,27,33
